mjd		ev_x	evf_x
60000.00	246650.9523	246467.5318
60000.01	246660.4986	246467.5318
60000.02	246704.7498	246467.5318
60000.03	246709.8000	246467.5318
60000.04	246761.5393	246467.5318
60000.05	246745.7122	246467.5318
60000.06	246740.3444	246467.5318
60000.07	246742.4635	246467.5318
60000.08	246807.1887	246467.5318
60000.09	246770.1322	246467.5318
60000.10	246806.9551	246467.5318
60000.11	246841.6634	246467.5318
60000.12	246821.7125	246467.5318
60000.13	246817.2593	246467.5318
60000.14	246817.7577	246467.5318
60000.15	246843.3439	246467.5318
60000.16	246843.0180	246467.5318
60000.17	246835.2344	246467.5318
60000.18	246858.3170	246467.5318
60000.19	246847.5764	246467.5318
60000.20	246850.2514	246467.5318
60000.21	246869.9785	246467.5318
60000.22	246840.1368	246467.5318
60000.23	246839.8503	246467.5318
60000.24	246857.0566	246467.5318
60000.25	246826.3971	246467.5318
60000.26	246822.7452	246467.5318
60000.27	246827.8355	246467.5318
60000.28	246802.9364	246467.5318
60000.29	246811.0312	246467.5318
60000.30	246764.9026	246467.5318
60000.31	246778.7410	246467.5318
60000.32	246750.4743	246467.5318
60000.33	246782.1667	246467.5318
60000.34	246701.8412	246467.5318
60000.35	246713.1442	246467.5318
60000.36	246674.0926	246467.5318
60000.37	246691.9507	246467.5318
60000.38	246690.2738	246467.5318
60000.39	246609.6330	246467.5318
60000.40	246602.3712	246467.5318
60000.41	246571.2352	246467.5318
60000.42	246557.9421	246467.5318
60000.43	246572.3994	246467.5318
60000.44	246534.8362	246467.5318
60000.45	246540.2208	246467.5318
60000.46	246486.2135	246467.5318
60000.47	246475.5464	246467.5318
60000.48	246474.4902	246467.5318
60000.49	246482.1062	246467.5318
60000.50	246440.3291	246467.5318
60000.51	246439.2786	246467.5318
60000.52	246392.6605	246467.5318
60000.53	246379.4745	246467.5318
60000.54	246341.6274	246467.5318
60000.55	246381.8567	246467.5318
60000.56	246372.6002	246467.5318
60000.57	246351.2084	246467.5318
60000.58	246340.2753	246467.5318
60000.59	246311.5054	246467.5318
60000.60	246282.7463	246467.5318
60000.61	246323.0126	246467.5318
60000.62	246331.6221	246467.5318
60000.63	246311.9341	246467.5318
60000.64	246283.1776	246467.5318
60000.65	246325.1645	246467.5318
60000.66	246304.6418	246467.5318
60000.67	246327.9411	246467.5318
60000.68	246309.1041	246467.5318
60000.69	246321.9549	246467.5318
60000.70	246336.4854	246467.5318
60000.71	246317.6521	246467.5318
60000.72	246343.4829	246467.5318
60000.73	246358.0197	246467.5318
60000.74	246351.6411	246467.5318
60000.75	246378.3173	246467.5318
60000.76	246387.1079	246467.5318
60000.77	246404.1580	246467.5318
60000.78	246442.4603	246467.5318
60000.79	246430.3270	246467.5318
60000.80	246473.3235	246467.5318
60000.81	246471.1431	246467.5318
60000.82	246514.1293	246467.5318
60000.83	246494.8885	246467.5318
60000.84	246567.4183	246467.5318
60000.85	246560.3030	246467.5318
60000.86	246585.7342	246467.5318
60000.87	246589.8951	246467.5318
60000.88	246626.6067	246467.5318
60000.89	246692.8990	246467.5318
60000.90	246669.5300	246467.5318
60000.91	246677.0379	246467.5318
60000.92	246705.8202	246467.5318
60000.93	246742.9218	246467.5318
60000.94	246765.0687	246467.5318
60000.95	246802.1865	246467.5318
60000.96	246793.4476	246467.5318
60000.97	246824.7607	246467.5318
60000.98	246868.1906	246467.5318
60000.99	246869.4738	246467.5318
