mjd		ev_x	evf_x	blad_wzg[%]
60000.0	246650.952	246467.532	0.074
60000.1	246745.712	246467.532	0.113
60000.1	246806.955	246467.532	0.138
60000.2	246843.344	246467.532	0.152
60000.2	246850.251	246467.532	0.155
60000.3	246826.397	246467.532	0.145
60000.3	246764.903	246467.532	0.121
60000.4	246713.144	246467.532	0.100
60000.4	246602.371	246467.532	0.055
60000.5	246540.221	246467.532	0.029
60000.5	246440.329	246467.532	0.011
60000.6	246381.857	246467.532	0.035
60000.6	246282.746	246467.532	0.075
60000.7	246325.164	246467.532	0.058
60000.7	246336.485	246467.532	0.053
60000.8	246378.317	246467.532	0.036
60000.8	246473.324	246467.532	0.002
60000.9	246560.303	246467.532	0.038
60000.9	246669.530	246467.532	0.082
60001.0	246802.187	246467.532	0.136
